Continent,Year,Disease,Value
Africa,1990,Cancers,111.615
Africa,1990,Cardiovascular,353.96074074074073
Africa,1990,Dementia,23.450555555555553
Africa,1990,Diharreal,161.12203703703705
Africa,1990,HIV/AIDS,46.61037037037037
Africa,1990,Malaria,77.8362962962963
Africa,1990,Malnutrition,38.702962962962964
Africa,1990,Smoking,95.22
Africa,1990,Tuberculosis,132.52166666666668
Africa,1991,Cancers,111.75462962962963
Africa,1991,Cardiovascular,351.3662962962963
Africa,1991,Dementia,23.464444444444442
Africa,1991,Diharreal,158.75518518518518
Africa,1991,HIV/AIDS,60.891666666666666
Africa,1991,Malaria,79.20037037037036
Africa,1991,Malnutrition,37.55722222222222
Africa,1991,Smoking,94.64018518518517
Africa,1991,Tuberculosis,131.0762962962963
Africa,1992,Cancers,112.21814814814815
Africa,1992,Cardiovascular,350.1051851851852
Africa,1992,Dementia,23.50074074074074
Africa,1992,Diharreal,156.23777777777778
Africa,1992,HIV/AIDS,77.78907407407407
Africa,1992,Malaria,79.03962962962963
Africa,1992,Malnutrition,36.566296296296294
Africa,1992,Smoking,94.42129629629629
Africa,1992,Tuberculosis,130.535
Africa,1993,Cancers,112.43722222222222
Africa,1993,Cardiovascular,349.0112962962963
Africa,1993,Dementia,23.514074074074074
Africa,1993,Diharreal,154.38500000000002
Africa,1993,HIV/AIDS,97.1075925925926
Africa,1993,Malaria,80.54444444444444
Africa,1993,Malnutrition,35.63222222222222
Africa,1993,Smoking,94.1962962962963
Africa,1993,Tuberculosis,130.2598148148148
Africa,1994,Cancers,113.00685185185185
Africa,1994,Cardiovascular,348.332037037037
Africa,1994,Dementia,23.546296296296298
Africa,1994,Diharreal,157.03185185185183
Africa,1994,HIV/AIDS,118.08555555555556
Africa,1994,Malaria,80.88611111111112
Africa,1994,Malnutrition,34.54833333333334
Africa,1994,Smoking,94.11611111111112
Africa,1994,Tuberculosis,130.32574074074074
Africa,1995,Cancers,113.79925925925926
Africa,1995,Cardiovascular,348.467962962963
Africa,1995,Dementia,23.607222222222223
Africa,1995,Diharreal,151.2801851851852
Africa,1995,HIV/AIDS,139.83981481481482
Africa,1995,Malaria,80.75111111111111
Africa,1995,Malnutrition,33.51555555555555
Africa,1995,Smoking,94.2662962962963
Africa,1995,Tuberculosis,130.3814814814815
Africa,1996,Cancers,114.29555555555555
Africa,1996,Cardiovascular,347.6140740740741
Africa,1996,Dementia,23.68351851851852
Africa,1996,Diharreal,147.22648148148147
Africa,1996,HIV/AIDS,161.3809259259259
Africa,1996,Malaria,83.1848148148148
Africa,1996,Malnutrition,32.47240740740741
Africa,1996,Smoking,93.79962962962964
Africa,1996,Tuberculosis,128.97518518518518
Africa,1997,Cancers,114.94148148148149
Africa,1997,Cardiovascular,346.73592592592587
Africa,1997,Dementia,23.779074074074074
Africa,1997,Diharreal,142.25444444444443
Africa,1997,HIV/AIDS,182.51000000000002
Africa,1997,Malaria,84.69240740740742
Africa,1997,Malnutrition,31.229074074074077
