Continent;Year;Age;Value
Africa;1950;0-9;1498.5751147206863
Africa;1950;10-19;120.63234707676962
Africa;1950;20-29;143.55871204279
Africa;1950;30-39;130.6524097280844
Africa;1950;40-49;124.67925460172044
Africa;1950;50-59;133.31292018358138
Africa;1950;60-69;170.72166744121188
Africa;1950;70-79;181.89687685606384
Africa;1950;80-89;82.27155997578636
Africa;1950;90+;8.490107925477437
Africa;1951;0-9;1491.4493297357676
Africa;1951;10-19;119.46220642464718
Africa;1951;20-29;143.18785762260873
Africa;1951;30-39;130.5381982369008
Africa;1951;40-49;123.87666611841298
Africa;1951;50-59;132.18157804805122
Africa;1951;60-69;168.94289847377803
Africa;1951;70-79;178.02656692444845
Africa;1951;80-89;79.7730983598366
Africa;1951;90+;7.584032104896567
Africa;1952;0-9;1468.764215888308
Africa;1952;10-19;116.97415396889012
Africa;1952;20-29;139.96851172838953
Africa;1952;30-39;129.01178015328898
Africa;1952;40-49;122.60982840888057
Africa;1952;50-59;130.6485187914925
Africa;1952;60-69;166.76251914798567
Africa;1952;70-79;173.86970504734168
Africa;1952;80-89;78.45967553871029
Africa;1952;90+;7.271801499090705
Africa;1953;0-9;1448.0265589064154
Africa;1953;10-19;114.84633980345475
Africa;1953;20-29;137.94657927554508
Africa;1953;30-39;127.14213210582842
Africa;1953;40-49;121.5688140760182
Africa;1953;50-59;130.03076112143998
Africa;1953;60-69;163.7654497785786
Africa;1953;70-79;170.224153737238
Africa;1953;80-89;77.37470447994686
Africa;1953;90+;6.86938112999287
Africa;1954;0-9;1422.148325240414
Africa;1954;10-19;113.11997410163063
Africa;1954;20-29;136.90881372436286
Africa;1954;30-39;126.74938178670817
Africa;1954;40-49;120.51314387313442
Africa;1954;50-59;129.47605323146027
Africa;1954;60-69;161.60985224350375
Africa;1954;70-79;167.13928755997532
Africa;1954;80-89;76.13871459501706
Africa;1954;90+;6.917034174149603
Africa;1955;0-9;1398.7407011940652
Africa;1955;10-19;111.1909990038565
Africa;1955;20-29;134.61777328913868
Africa;1955;30-39;124.93019451043546
Africa;1955;40-49;118.87988311199251
Africa;1955;50-59;128.289892881473
Africa;1955;60-69;159.60288626173607
Africa;1955;70-79;163.77132918637295
Africa;1955;80-89;74.67596499784473
Africa;1955;90+;7.099639285640111
Africa;1956;0-9;1379.5438544594854
Africa;1956;10-19;109.97852713366102
Africa;1956;20-29;133.20198439671992
Africa;1956;30-39;124.35725538180816
Africa;1956;40-49;117.96970460390911
Africa;1956;50-59;127.56918039763501
Africa;1956;60-69;157.84591597665926
Africa;1956;70-79;160.0507265204958
Africa;1956;80-89;74.21626259279269
Africa;1956;90+;7.570771862101693
Africa;1957;0-9;1367.2631384407764
Africa;1957;10-19;109.3809698849793
Africa;1957;20-29;131.49876887991832
Africa;1957;30-39;123.25388087860848
Africa;1957;40-49;117.23370914239449
Africa;1957;50-59;127.59374457296393
Africa;1957;60-69;156.27544343301128
Africa;1957;70-79;157.26499407021106
Africa;1957;80-89;73.71024019218724
Africa;1957;90+;7.803671219478856
Africa;1958;0-9;1347.42645346038
Africa;1958;10-19;109.37462316688669
Africa;1958;20-29;131.1607725341864
Africa;1958;30-39;123.02511629516326
Africa;1958;40-49;116.74437398261267
Africa;1958;50-59;127.61216298743076
Africa;1958;60-69;155.5490293488476
Africa;1958;70-79;154.65837745690783
Africa;1958;80-89;73.281581446176
Africa;1958;90+;8.139791505516836
Africa;1959;0-9;1316.6534847800501
Africa;1959;10-19;106.37328761104328
Africa;1959;20-29;128.23632984845864
Africa;1959;30-39;120.64759798985644
Africa;1959;40-49;114.1550471911206
Africa;1959;50-59;125.06089281535519
Africa;1959;60-69;152.96577054331516
Africa;1959;70-79;151.58681692858045
Africa;1959;80-89;72.11560604402075
Africa;1959;90+;7.900737608082671
Africa;1960;0-9;1293.5806589487233
Africa;1960;10-19;105.34479312323995
Africa;1960;20-29;129.05525951388196
Africa;1960;30-39;120.8476805635306
Africa;1960;40-49;113.87829183662637
Africa;1960;50-59;124.28928913388337
Africa;1960;60-69;151.64800144457885
Africa;1960;70-79;149.24920123507118
Africa;1960;80-89;70.77309730982222
Africa;1960;90+;8.049249211362037
Africa;1961;0-9;1269.417402275115
Africa;1961;10-19;103.62008867908008
Africa;1961;20-29;127.13789502289715
Africa;1961;30-39;118.88920015490334
Africa;1961;40-49;112.24471633076801
Africa;1961;50-59;123.00100020041806
Africa;1961;60-69;150.1447295974919
Africa;1961;70-79;147.22381709943403
Africa;1961;80-89;69.97179427340495
Africa;1961;90+;8.214069143745052
Africa;1962;0-9;1247.8101869937398
Africa;1962;10-19;101.49193382666641
Africa;1962;20-29;120.82704868158287
Africa;1962;30-39;114.78935962583652
Africa;1962;40-49;109.51682253361477
Africa;1962;50-59;121.0479158844274
Africa;1962;60-69;148.96288758851327
Africa;1962;70-79;145.91968311887487
Africa;1962;80-89;69.3274178464339
Africa;1962;90+;7.755119386260633
Africa;1963;0-9;1228.1119102173986
Africa;1963;10-19;100.44040182344723
Africa;1963;20-29;119.47042301102123
Africa;1963;30-39;114.15166483883381
Africa;1963;40-49;109.0648805833415
Africa;1963;50-59;120.40877723236609
Africa;1963;60-69;148.38226940347755
Africa;1963;70-79;145.40474240714266
Africa;1963;80-89;68.5918235713102
Africa;1963;90+;7.655348612926345
Africa;1964;0-9;1200.8126937399668
Africa;1964;10-19;97.05395226060392
Africa;1964;20-29;114.6875278382087
Africa;1964;30-39;110.24350426395115
Africa;1964;40-49;106.6205536212547
Africa;1964;50-59;118.46362791177064
Africa;1964;60-69;147.00015666933655
Africa;1964;70-79;143.87389290790767
Africa;1964;80-89;67.91216769700657
Africa;1964;90+;7.395223015152521
Africa;1965;0-9;1184.5542749902595
Africa;1965;10-19;97.37453387428872
Africa;1965;20-29;114.15773816111147
Africa;1965;30-39;109.27384583087947
Africa;1965;40-49;106.15304321798295
Africa;1965;50-59;117.71061322699668
Africa;1965;60-69;146.06795385193797
Africa;1965;70-79;143.53516341778834
Africa;1965;80-89;67.13535192309675
Africa;1965;90+;7.483913926883924
Africa;1966;0-9;1169.230828248
Africa;1966;10-19;97.29299338062714
Africa;1966;20-29;113.38489677107948
Africa;1966;30-39;107.70487032989828
Africa;1966;40-49;105.16301805379723
Africa;1966;50-59;116.35118012441097
Africa;1966;60-69;145.2273954753479
Africa;1966;70-79;142.82209049513762
Africa;1966;80-89;66.84620455349193
Africa;1966;90+;7.365006696003415
Africa;1967;0-9;1145.187416728118
Africa;1967;10-19;96.12411795532208
Africa;1967;20-29;111.38664206843097
Africa;1967;30-39;105.34962730387106
Africa;1967;40-49;103.58131001687251
Africa;1967;50-59;115.45518208453272
Africa;1967;60-69;143.7539420942696
Africa;1967;70-79;141.48203494337665
Africa;1967;80-89;66.64381920320741
Africa;1967;90+;7.359795007972453
Africa;1968;0-9;1123.819775731804
Africa;1968;10-19;95.12609018023429
Africa;1968;20-29;108.96648529999494
Africa;1968;30-39;102.50405632865039
Africa;1968;40-49;101.53046136529979
Africa;1968;50-59;113.65109313266427
Africa;1968;60-69;142.45197630940422
